ID  объявления,Метро,Адрес,время пешком
271271157,м. Смоленская ,"Москва,  улица Новый Арбат,  27",9
271634126,м. Смоленская ,"Москва,  улица Новый Арбат,  27",8
271173086,м. Смоленская ,"Москва,  улица Новый Арбат,  27",7
272197456,м. Смоленская ,"Москва,  переулок Плотников,  21С1",3
273614615,м. Арбатская ,"Москва,  улица Новый Арбат,  15",7
274837728,м. Смоленская ,"Москва,  1-й Смоленский переулок,  21",5
273643908,м. Арбатская ,"Москва,  переулок Романов,  3С1",4
274475342,м. Смоленская ,"Москва,  улица Арбат,  43С3",3
273973191,м. Смоленская ,"Москва,  Новинский бульвар,  18С1",9
272900409,м. Арбатская ,"Москва,  улица Арбат,  30/3С1",10
271036964,м. Смоленская ,"Москва,  Малый Николопесковский переулок,  4",5
273999490,м. Смоленская ,"Москва,  Новинский бульвар,  7",2
274017037,м. Смоленская ,"Москва,  Большой Николопесковский переулок,  13",8
273231024,м. Смоленская ,"Москва,  Трубниковский переулок,  13С1",9
274839211,м. Кропоткинская ,"Москва,  Филипповский переулок,  8С1",5
274767901,м. Кропоткинская ,"Москва,  Филипповский переулок,  8С1",6
274995950,м. Арбатская ,"Москва,  улица Новый Арбат,  15",10
274945807,м. Арбатская ,"Москва,  Филипповский переулок,  8С1",5
272911145,м. Александровский сад ,"Москва,  Поварская улица,  18",12
274748017,м. Кропоткинская ,"Москва,  Филипповский переулок,  9",6
273941734,м. Арбатская ,"Москва,  улица Новый Арбат,  15",9
274493570,м. Кропоткинская ,"Москва,  переулок Сивцев Вражек,  14",5
274849101,м. Смоленская ,"Москва,  Малый Каковинский переулок,  6С1",5
223918678,м. Арбатская ,"Москва,  Филипповский переулок,  8С1",8
274391259,м. Арбатская ,"Москва,  Филипповский переулок,  9",5
272945376,м. Арбатская ,"Москва,  Гоголевский бульвар,  29",5
272612966,м. Арбатская ,"Москва,  Поварская улица,  18",11
271568490,м. Смоленская ,"Москва,  переулок Плотников,  20/21",7
264664760,м. Арбатская ,"Москва,  улица Новый Арбат,  32",15
228923308,м. Арбатская ,"Москва,  Филипповский переулок,  8С1",10
267489303,м. Арбатская ,"Москва,  переулок Романов,  5",5
273353104,м. Смоленская ,"Москва,  улица Новый Арбат,  32",7
273353103,м. Смоленская ,"Москва,  улица Новый Арбат,  32",7
268321690,м. Арбатская ,"Москва,  улица Новый Арбат,  32",11
269496185,м. Смоленская ,"Москва,  Малый Каковинский переулок,  6С1",3
272188531,м. Арбатская ,"Москва,  улица Новый Арбат,  15",15
272727784,м. Смоленская ,"Москва,  улица Арбат,  15/43",0
267110043,м. Смоленская ,"Москва,  1-й Смоленский переулок,  21",7
265323319,м. Смоленская ,"Москва,  улица Новый Арбат,  32",7
265804792,м. Смоленская ,"Москва,  переулок Плотников,  21С1",7
239000408,м. Арбатская ,"Москва,  Борисоглебский переулок,  15С2",9
271209314,м. Смоленская ,"Москва,  улица Новый Арбат,  27",5
269889430,м. Смоленская ,"Москва,  Малый Каковинский переулок,  6С1",6
241704098,м. Смоленская ,"Москва,  улица Новый Арбат,  27",5
239000331,м. Кропоткинская ,"Москва,  Филипповский переулок,  8С1",8
272823500,м. Арбатская ,"Москва,  улица Арбат,  15/43",7
274402813,м. Смоленская ,"Москва,  Малый Новопесковский переулок,  8",5
270190788,м. Смоленская ,"Москва,  Малый Новопесковский переулок,  8",5
271265359,м. Смоленская ,"Москва,  улица Арбат,  45/24",5
274289253,м. Арбатская ,"Москва,  улица Арбат,  15/43",7
274150874,м. Смоленская ,"Москва,  улица Арбат,  47/23",4
274849686,м. Смоленская ,"Москва,  1-й Смоленский переулок,  17",5
274315381,м. Арбатская ,"Москва,  Филипповский переулок,  8С1",6
273779074,м. Смоленская ,"Москва,  Большой Николопесковский переулок,  3",7
274217247,м. Смоленская ,"Москва,  улица Арбат,  31",8
272156997,м. Кропоткинская ,"Москва,  Гоголевский бульвар,  23",5
274617827,м. Кропоткинская ,"Москва,  Филипповский переулок,  9",8
274252871,м. Смоленская ,"Москва,  Малый Новопесковский переулок,  8",5
269132104,м. Смоленская ,"Москва,  улица Новый Арбат,  32",10
273911217,м. Смоленская ,"Москва,  улица Арбат,  47/23",6
269716469,м. Смоленская ,"Москва,  Малый Новопесковский переулок,  8",5
274137125,м. Киевская ,"Москва,  1-й Смоленский переулок,  17",0
274140104,м. Смоленская ,"Москва,  1-й Смоленский переулок,  17",5
271258034,м. Смоленская ,"Москва,  Трубниковский переулок,  13С1",9
166833883,м. Арбатская ,"Москва,  Большой Афанасьевский переулок,  32/9",6
273798495,м. Смоленская ,"Москва,  Композиторская улица,  17",6
274810876,м. Смоленская ,"Москва,  переулок Плотников,  21С1",4
274199925,м. Арбатская ,"Москва,  улица Арбат,  31",0
274223065,м. Смоленская ,"Москва,  Большой Николопесковский переулок,  3",8
271264562,м. Кропоткинская ,"Москва,  Гоголевский бульвар,  23",5
272632345,м. Арбатская ,"Москва,  улица Арбат,  15/43",6
274018110,м. Арбатская ,"Москва,  Филипповский переулок,  8С1",5
274029603,м. Смоленская ,"Москва,  улица Арбат,  32",5
